waypoint_id,pos_x,pos_y,pos_z,orient_x,orient_y,orient_z,orient_w,frame_id2,
-0.0171,0.0244,0.0000,0.0000,0.0000,-0.0113,0.9999,map
4,1.4513,0.9929,0.0000,0.0000,0.0000,-0.0075,1.0000,map
5,2.5944,1.0477,0.0000,0.0000,0.0000,-0.7189,0.6952,map
6,2.4980,-0.0532,0.0000,0.0000,0.0000,-0.0075,1.0000,map
7,3.7521,-0.0561,0.0000,0.0000,0.0000,0.6965,0.7176,map
8,3.7535,1.1022,0.0000,0.0000,0.0000,0.7777,0.6287,map
9,2.7242,2.3227,0.0000,0.0000,0.0000,-0.9982,0.0606,map
10,1.3933,2.3085,0.0000,0.0000,0.0000,-0.9978,0.0660,map
11,0.7302,2.0796,0.0000,0.0000,0.0000,-0.9159,0.4013,map
12,0.2627,1.2450,0.0000,0.0000,0.0000,-0.7052,0.7090,map
13,0.4165,-0.6339,0.0000,0.0000,0.0000,-0.4195,0.9077,map
14,1.4519,-1.3659,0.0000,0.0000,0.0000,-0.1569,0.9876,map
15,2.4990,-1.3134,0.0000,0.0000,0.0000,0.7048,0.7094,map
16,2.6417,-0.1441,0.0000,0.0000,0.0000,0.7099,0.7043,map
17,2.5464,1.0856,0.0000,0.0000,0.0000,-0.9996,0.0281,map
18,1.4539,1.0452,0.0000,0.0000,0.0000,-0.6802,0.7330,map
19,1.5514,-0.0367,0.0000,0.0000,0.0000,-0.9996,0.0284,map
20,0.0171,0.0318,0.0000,0.0000,0.0000,-0.0230,0.9997,map
